"","Pais","Media"
"1","Albania","8.93"
"2","Alemania","8.58"
"3","Angola","14.08"
"4","Arabia Saudita","1.20"
"5","Argelia","7.00"
"6","Argentina","13.11"
"7","Armenia","5.60"
"8","Australia","5.75"
"9","Austria","15.29"
"10","Belgica","22.32"
"11","Benin","6.05"
"12","Bosnia-Herzegovina","4.11"
"13","Brasil","18.61"
"14","Bulgaria","4.50"
"15","Burkina Faso","21.10"
"16","Cabo Verde","17.50"
"17","Camerun","8.08"
"18","Canada","18.80"
"19","Chad","1.20"
"20","Chile","6.31"
"21","China","4.90"
"22","Chipre","1.90"
"23","Colombia","11.00"
"24","Comoras","0.10"
"25","Corea del Sur","15.67"
"26","Costa de Marfil","8.32"
"27","Costa Rica","3.35"
"28","Croacia","11.76"
"29","Dinamarca","11.86"
"30","Ecuador","8.82"
"31","Egipto","26.62"
"32","Escocia","16.36"
"33","Eslovaquia","7.88"
"34","Eslovenia","8.61"
"35","Espana","8.83"
"36","Estados Unidos","16.88"
"37","Finlandia","3.97"
"38","Francia","9.28"
"39","Gabon","11.00"
"40","Gales","12.31"
"41","Gambia","15.40"
"42","Ghana","13.15"
"43","Grecia","5.28"
"44","Guadalupe","11.93"
"45","Guinea","9.50"
"46","Guinea-Bissau","18.53"
"47","Honduras","6.35"
"48","Hungria","14.26"
"49","Indonesia","10.60"
"50","Inglaterra","16.39"
"51","Irlanda","7.05"
"52","Irlanda del Norte","5.78"
"53","Isla de Man","41.60"
"54","Islandia","3.98"
"55","Israel","6.00"
"56","Italia","7.47"
"57","Jamaica","68.15"
"58","Japon","8.05"
"59","Kosovo","9.51"
"60","Lituania","0.00"
"61","Luxemburgo","13.00"
"62","Macedonia del Norte","10.45"
"63","Mali","7.55"
"64","Marruecos","20.33"
"65","Martinica","0.00"
"66","Mayotte","0.80"
"67","Mexico","10.11"
"68","Montenegro","6.10"
"69","Mozambique","2.35"
"70","Nicaragua","1.70"
"71","Nigeria","13.04"
"72","Noruega","11.42"
"73","Nueva Zelanda","11.60"
"74","Paises Bajos","16.66"
"75","Panama","6.60"
"76","Paraguay","13.30"
"77","Peru","11.23"
"78","Polonia","10.90"
"79","Portugal","22.48"
"80","Republica Checa","16.91"
"81","Republica del Congo","1.30"
"82","Republica Democratica del Congo","5.23"
"83","Republica Dominicana","10.40"
"84","Rumania","4.53"
"85","Rusia","10.33"
"86","Senegal","9.43"
"87","Serbia","8.97"
"88","Sierra Leona","6.90"
"89","Siria","14.40"
"90","Sudafrica","1.25"
"91","Suecia","13.36"
"92","Suiza","13.64"
"93","Togo","9.95"
"94","Turquia","16.08"
"95","Ucrania","13.78"
"96","Uganda","0.60"
"97","Uruguay","15.09"
"98","Uzbekistan","9.60"
"99","Venezuela","7.43"
"100","Yibuti","0.80"
"101","Zambia","19.85"
"102","Zimbabue","6.80"
