,Agent,Dateofbirth,Latesttransfer,CIESvalue,TMvalue,Totaltransfers,Timeinyouthteam,Goalkicks,Dominantfoot,Position,Maincompetition,Salary,Startofcontract,Contractexpiration,Previousclub,Releaseclause,Saves,Dribble,Defender,Transfers,Offthebench,Altura,Ageinlastgame,Previouscompetition,Currentclub,Ageondebut,Countryofbirth,ELO,Market value,Othershirtnumbers,Tempo,Placeofbirth,Timescalledup,Nacionalidad(es),Physical,Pass,Placement,Mostcommonshirtnumber,Matchesasastarter,Shot,Stretch,Debut,Reflexes,Liga,Lastmatch,Marketvalue,Jump,Provider,Latestrenewal,Potential,Regionofbirth,Edad,Continentofbirth
Ter Stegen,ROOF,30April1992,,40M€,30M€,,BorussiaMönchengladbach(1996-2010),88,Right,GOA(Goalkeeper),LaLiga,10.8M€annual,01-07-2014,30-06-2025,B.Mönchengladbach,350M€,85,,,transfer,,187,,Bundesliga,Barcelona,,Germany,85,23.8,"22,21",,Mönchengladbach,,Germany,,,88,1,,,88,,90,Liga Española,,23.8M€,79,Adidas,20-10-2020,87,EuropaOccidental,30,Europe
Iñaki Peña,INTEGRALADVISINGFOOTBALLS.L,02March1999,,2M€,4M€,,"AlicanteCF(2004-2009),VillarrealCF(2009-2012),FCBarcelona(2012-2018)",67,Right,GOA(Goalkeeper),LaLiga,779.2k€annual,27-07-2020,30-06-2023,GalatasaraySK,,64,,,transfer,,184,,TurkishSüperLig,Barcelona,,Spain,54,2.6,"13,1,25,30,23",,Alicante,,Spain,,,65,26,,,66,,69,Liga Española,,2.5M€,64,Nike,,68,EuropadelSur,23,Europe
Arnau Tenas,"Puyol,DelaPeña&Sostres",30May2001,,1M€,1.5M€,,,,Right,GOA(Goalkeeper),LaLiga,193.4k€annual,01-07-2020,30-06-2023,BarçaAtlètic,,,,,transfer,,185,,PrimeraDivisiónRFEF,Barcelona,,Spain,54,1.7,"1,13,25,31,24",,Vic,,Spain,,,,36,,,,,,Liga Española,,1.7M€,,,27-06-2020,67,EuropadelSur,21,Europe
Ander Astralaga,,03March2004,,,,,,,Right,GOA(Goalkeeper),LaLiga,,,,BarçaAtlètic,,,,,,,190,,PrimeraDivisiónRFEF,Barcelona,,Spain,50,,"31,34,13",,Berango,,Spain,,,,1,,,,,,Liga Española,,,,,,74,EuropadelSur,18,Europe
Jules Koundé,ESN,12November1998,,,60M€,,"FraternelledeLandiras(2004-2008),Cérons(2008-2010),FCLaBrède(2010-2013)",,Right,DF(Defender),LaLiga,2.6M€annual,03-07-2019,30-06-2027,Sevilla,,,73,63,transfer,,178,,LaLiga,Barcelona,,France,84,62.4,"23,4,5,25,31,3,11,38",79,Paris,,France,80,61,,12,,38,,,,Liga Española,,62.4M€,,Puma,,87,EuropaOccidental,24,Europe
Jordi Alba,InterStarDeporte,21March1989,,15M€,5M€,,Hospitalense(1996-1998),,Left,DF(Defender),LaLiga,10.9M€annual,01-07-2012,30-06-2024,Valencia,150M€,,86,68,transfer,,170,,LaLiga,Barcelona,,Spain,82,11,"28,17,11,6",87,L'HospitaletdeLlobregat,,Spain,80,81,,18,,67,,,,Liga Española,,11M€,,Adidas,28-02-2019,91,EuropadelSur,33,Europe
Andreas Christensen,KINPartners,10April1996,,50M€,30M€,,IFSkjoldBirkerød(2000-2004),,Right,DF(Defender),LaLiga,4.2M€annual,01-07-2012,30-06-2026,Chelsea,,,66,57,transfer,,187,,PremierLeague,Barcelona,,Denmark,81,39.1,"6,27,3,15,2,31,32,12,8,13,5",66,Allerød,,Denmark,71,59,,4,,26,,,,Liga Española,,39.1M€,,Adidas,,84,PaísesNórdicos,26,Europe
Ronald Araújo,ExcellenceSport,07March1999,,80M€,60M€,,HuracándeRivera,,Right,DF(Defender),LaLiga,2.2M€annual,09-07-2018,30-06-2026,BarçaAtlètic,,,55,49,transfer,,188,,PrimeraDivisiónRFEF,Barcelona,,Uruguay,81,41.8,"33,2,15,19,30",72,Rivera,,Uruguay,66,46,,4,,37,,,,Liga Española,,41.8M€,,,29-04-2022,84,Sudamérica,23,AmericadelSur
Marcos Alonso,LIANSportsGroup,28December1990,,8M€,9M€,,RealMadrid(1999-2008),,Left,DF(Defender),LaLiga,5M€annual,31-08-2016,30-06-2024,Chelsea,,,73,60,transfer,,188,,PremierLeague,Barcelona,,Spain,78,8.9,"28,17,25,12",65,Madrid,,Spain,76,77,,3,,82,,,,Liga Española,,8.9M€,,Nike,27-01-2023,84,EuropadelSur,32,Europe
Eric García,"Puyol,DelaPeña&Sostres",09January2001,,70M€,18M€,,FCBarcelona(2008–2017),,Right,DF(Defender),LaLiga,2.5M€annual,01-07-2021,30-06-2026,Man.City,,,63,52,transfer,,182,,PremierLeague,Barcelona,,Spain,72,18.6,"24,12,3,4,15,14,2",63,Barcelona,,Spain,70,56,,50,,40,,,,Liga Española,,18.6M€,,,,79,EuropadelSur,22,Europe
